Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
178257338,15,20,100,210,16,6,6.66666666666667,2.58198889747161,32,6,10.5,7.1340547265987,1.73905884312039,0.196345353255528,5242862.88235294,7595521.69882969,20573616,299,161575978,11541141.2857143,8259985.54184722,21000409,1807252,178257338,9381965.15789474,8496802.01696739,20573616,535,0,1,0,0,300,400,0.0841480085380829,0.112197344717444,6,32,8.77777777777778,5.841287094522481,34.1206349206349,0,0,0,1,1,0,0,0,1,9.028571428571428,6.66666666666667,10.5,0,0,0,0,0,0,15,100,20,210,-1,256,15,0,1432307.27272727,1977433.92935512,5425131,299,14562266.545454502,6814073.12005383,20573616,5993591,NORMAL
178420016,18,22,118,232,16,6,6.55555555555555,2.3570226039551603,32,6,10.5454545454545,6.960618970337078,1.9616633147258504,0.224190093111526,4574872.2051282,6664954.86283834,20639246,401,169997858,9999874.0,7500691.76837409,20999785,2469671,178420016,8496191.23809524,7652026.73047796,20639765,4179,0,1,0,0,360,440,0.100885541900187,0.123304551211339,6,32,8.68292682926829,5.64995143514634,31.9219512195122,0,0,0,1,1,0,0,0,1,8.9,6.55555555555555,10.5454545454545,0,0,0,0,0,0,18,118,22,232,-1,256,18,0,2330428.66666667,3811822.78539575,13003628,519,12537564.1666667,6992313.28373071,20639246,5993959,NORMAL
169806256,18,21,118,250,16,6,6.55555555555555,2.3570226039551603,32,6,11.904761904761903,7.19656002479491,2.1671757488134,0.229673516857942,4468585.68421053,5809991.93247939,20177728,266,169804704,9988512.0,6018584.72163082,21002965,2729000,169806256,8490312.8,6442417.94252322,20177728,204496,0,1,0,0,360,420,0.106003161626742,0.1236703552312,6,32,9.35,6.0321786683734295,36.3871794871795,0,0,0,1,1,0,0,0,1,9.589743589743591,6.55555555555555,11.904761904761903,0,0,0,0,0,0,18,118,21,250,-1,255,18,0,1745398.41666667,2375821.71256081,6748395,266,11151075.5833333,5998483.57258939,20177728,5954444,NORMAL
179596352,18,20,108,208,6,6,6.0,0.0,20,6,10.4,5.6419481517795305,1.75950121748575,0.211585589444489,4853955.45945946,6854486.76338464,20388426,532,178986405,10528612.0588235,7293917.63372704,20999083,2731046,179594963,9452366.47368421,7714575.397259,20389910,203631,0,1,0,0,360,400,0.100224752894758,0.111360836549731,6,20,8.51282051282051,4.71767000291566,22.2564102564103,0,0,0,1,1,0,0,0,1,8.736842105263161,6.0,10.4,0,0,0,0,0,0,18,108,20,208,-1,255,18,0,1492297.23076923,1678383.57111513,3350859,1368,12322699.9230769,6715222.54988199,20388426,5993130,NORMAL
179803386,13,17,78,166,6,6,6.0,0.0,20,6,9.76470588235294,5.33302695198405,1.35703784799692,0.166848915737327,6200116.75862069,7932684.57006769,20436108,362,138999650,11583304.1666667,7277547.59055321,21000180,2628377,179803386,11237711.625,8149391.18494991,20437446,901,0,1,0,0,260,340,0.0723011968195079,0.094547718917818,6,20,8.06451612903226,4.33540066484416,18.7956989247312,0,0,0,1,1,0,0,0,1,8.33333333333333,6.0,9.76470588235294,0,0,0,0,0,0,13,78,17,166,-1,253,13,0,1048939.0,1548626.07885565,3194167,362,13934676.5,6838787.35640014,20436108,5999868,NORMAL
176997076,16,19,96,178,6,6,6.0,0.0,20,6,9.36842105263158,5.16624220101344,1.54804817227602,0.197743379670295,5205796.35294118,7002428.22289175,20388636,615,169999695,11333313.0,7337270.61799135,21000618,2647744,176997076,9833170.88888889,7580390.11266143,20389699,215136,0,1,0,0,320,380,0.090396973563563,0.107346406106731,6,20,7.77777777777778,4.07859297245026,16.6349206349206,0,0,0,1,1,0,0,0,1,8.0,6.0,9.36842105263158,0,0,0,0,0,0,16,96,19,178,-1,253,16,0,1544873.83333333,1972672.16822935,5650099,615,12188802.0,6830549.73571548,20388636,5999070,NORMAL
159853805,15,15,90,130,6,6,6.0,0.0,16,6,8.66666666666667,4.577377082170639,1.37625751229381,0.187671478949156,5512200.17241379,7822719.25434237,20517723,438,158473776,11319555.4285714,8608261.95307339,21060780,2423001,159853805,11418128.9285714,8264615.50408916,20517723,1372832,0,1,0,0,300,300,0.093835739474578,0.093835739474578,6,16,7.612903225806449,3.73878250552983,13.978494623655903,0,0,0,1,1,0,0,0,1,7.86666666666667,6.0,8.66666666666667,0,0,0,0,0,0,15,90,15,130,-1,252,15,0,1541266.9,1986758.17988615,3851210,438,14443737.8,7275873.1953843,20517723,5992891,NORMAL
179870615,17,18,112,184,16,6,6.588235294117651,2.42535625036333,32,6,10.2222222222222,7.09229536855109,1.64562733051199,0.194584312729458,5290312.20588235,7585645.79081091,20216155,249,179867301,11241706.3125,7975576.69902011,21000235,2753525,179870615,10580624.411764698,8180442.17115952,20217505,199776,0,1,0,0,340,360,0.094512380468594,0.100071932260864,6,32,8.38888888888889,5.530578775074232,30.587301587301607,0,0,0,1,1,0,0,0,1,8.62857142857143,6.588235294117651,10.2222222222222,0,0,0,0,0,0,17,112,18,184,-1,251,17,0,2565853.5,4682408.93790824,15015062,249,15421175.8,6635445.463657902,20216155,6093873,NORMAL
179489106,17,18,112,184,16,6,6.588235294117651,2.42535625036333,32,6,10.2222222222222,7.09229536855109,1.64912515637579,0.194997907003894,5279091.35294118,7525010.87896023,20518660,432,179483528,11217720.5,8563767.23563195,21000355,995019,179489106,10558182.7058824,8182367.62468288,20518660,215542,0,1,0,0,340,360,0.094713269116177,0.100284637887717,6,32,8.38888888888889,5.530578775074232,30.587301587301607,0,0,0,1,1,0,0,0,1,8.62857142857143,6.588235294117651,10.2222222222222,0,0,0,0,0,0,17,112,18,184,-1,251,17,0,1812957.63636364,2651229.23349941,7854381,479,14503854.0,6739896.58971977,20518660,6001967,NORMAL
175216104,15,18,100,174,16,6,6.66666666666667,2.58198889747161,32,6,9.66666666666667,7.00420042042001,1.56378320111489,0.18833885268902,5475503.25,8127708.60834871,20219083,308,155001443,11071531.6428571,8718654.88094711,21002867,999025,175214735,10306749.117647098,9057226.34320832,20219083,320,0,1,0,0,300,360,0.0856085694041,0.10273028328492,6,32,8.23529411764706,5.521631420806449,30.4884135472371,0,0,0,1,1,0,0,0,1,8.48484848484848,6.66666666666667,9.66666666666667,0,0,0,0,0,0,15,100,18,174,-1,256,15,0,1486939.7,2583779.13281048,7553585,308,16034533.8,6688509.56541002,20219083,6021368,NORMAL
